0,1,2
24,13,weak
24,14,weak
25,13,weak
25,14,weak
137,13,weak
137,14,weak
138,13,weak
138,14,weak
16,13,medium
16,14,medium
17,13,medium
17,14,medium
18,13,medium
18,14,medium
15,13,medium
15,14,medium
76,68,medium
76,69,medium
77,68,medium
77,69,medium
78,68,medium
78,69,medium
68,45,medium
68,46,medium
69,45,medium
69,46,medium
24,45,medium
24,46,medium
25,45,medium
25,46,medium
183,13,medium
183,14,medium
184,13,medium
184,14,medium
53,24,medium
53,25,medium
54,24,medium
54,25,medium
55,24,medium
55,25,medium
99,16,medium
99,17,medium
99,18,medium
100,16,medium
100,17,medium
100,18,medium
101,16,medium
101,17,medium
101,18,medium
145,16,medium
145,17,medium
145,18,medium
146,16,medium
146,17,medium
146,18,medium
147,16,medium
147,17,medium
147,18,medium
114,15,medium
115,15,medium
99,114,strong
99,115,strong
100,114,strong
100,115,strong
101,114,strong
101,115,strong
122,137,strong
122,138,strong
123,137,strong
123,138,strong
124,137,strong
124,138,strong
145,160,strong
145,161,strong
146,160,strong
146,161,strong
147,160,strong
147,161,strong
229,212,strong
230,212,strong
191,206,strong
191,207,strong
192,206,strong
192,207,strong
193,206,strong
193,207,strong
214,229,strong
214,230,strong
215,229,strong
215,230,strong
216,229,strong
216,230,strong
76,91,strong
76,92,strong
77,91,strong
77,92,strong
78,91,strong
78,92,strong
168,183,strong
168,184,strong
169,183,strong
169,184,strong
170,183,strong
170,184,strong
53,68,strong
53,69,strong
54,68,strong
54,69,strong
55,68,strong
55,69,strong
229,24,strong
229,25,strong
230,24,strong
230,25,strong
24,15,strong
25,15,strong
16,24,strong
16,25,strong
17,24,strong
17,25,strong
18,24,strong
18,25,strong
206,212,strong
207,212,strong
160,166,strong
161,166,strong
137,160,strong
137,161,strong
138,160,strong
138,161,strong
114,120,strong
115,120,strong
122,114,strong
122,115,strong
123,114,strong
123,115,strong
124,114,strong
124,115,strong
91,97,strong
92,97,strong
68,74,strong
69,74,strong
45,68,strong
45,69,strong
46,68,strong
46,69,strong
30,45,strong
30,46,strong
31,45,strong
31,46,strong
32,45,strong
32,46,strong
183,206,strong
183,207,strong
184,206,strong
184,207,strong
