nspe_7_2,Intensity
6α12-7NH1,medium
6α12-7NH2,weak
3α12-7NH1,weak
3α12-7NH2,weak
3α11-7NH1,weak
1α11-2α2,medium
1α12-2α2,strong
2β3-1α11,medium
2α12-3α12,strong
4α12-3α12,medium
5α11-4α12,strong
5α11-6α2,strong
5α12-6α2,strong
6β3-5α12,medium
6α11-7α12,strong
7α12-6α12,strong
1α11-α2,medium
2β3-α11,strong
2α11-α2,medium
3β3-α11,strong
3α11-α2,medium
4β3-α11,strong
4α11-α2,medium
5β3-α11,strong
5β3-α12,medium
5α12-α2,medium
6β3-α11,strong
7α11-α2,weak
7α11-NH1,weak
7α11-NH2,weak
